spanish_word, translation, regular_word, gender
hablar, to speak, True, none
comer, to eat, True, none
vivir, to live, True, none
cortar, to cut, True, none
trabajar, to work, True, none
bailar, to dance, True, none
estudiar, to study, True, none
caminar, to walk, True, none
cocinar, to cook, True, none
beber, to drink, True, none
aprender, to learn, True, none
correr, to run, True, none
leer, to read, True, none
vender, to sell, True, none
comprender, to comprehend, True, none
escribir, to write, True, none
abrir, to open, True, none
recibir, to receive, True, none
decidir, to decide, True, none
compartir, to share, True, none